City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
102,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
103,Madimba,TZ,76.08,light rain,-10.4,40.3333,
104,Hamilton,US,71.78,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
106,Machala,EC,78.75,broken clouds,-3.2667,-79.9667,"Hotel ""Bolivar Internacional"""
107,Airai,TL,72.1,overcast clouds,-8.9266,125.4092,Juvinal Martin
108,Hithadhoo,MV,82.71,broken clouds,-0.6,73.0833,Scoop Guest House
111,Vila Franca Do Campo,PT,64.81,clear sky,37.7167,-25.4333,Pestana Bahia Praia
112,Lompoc,US,69.01,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
115,Cullman,US,67.86,few clouds,34.1748,-86.8436,Best Western Fairwinds Inn
117,San Quintin,MX,65.82,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
118,Thinadhoo,MV,82.76,broken clouds,0.5333,72.9333,
123,Corinto,GR,63.9,overcast clouds,37.9407,22.9573,Ephira Hotel
124,Namatanai,PG,85.41,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
125,Mataura,NZ,67.01,overcast clouds,-46.1927,168.8643,Ellie's Villa
126,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
128,Virden,US,75.49,overcast clouds,39.5009,-89.7679,Virden Nail Spa
129,Guerrero Negro,MX,68.13,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
132,Lakatoro,VU,81.59,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
133,Basoko,CD,70.0,overcast clouds,1.2391,23.616,Jackyna Hotel
134,Payo,ID,74.64,overcast clouds,-3.7508,103.6372,Mess keban agung
136,Ihosy,MG,69.8,few clouds,-22.4,46.1167,Tamana Hôtel
140,Itarema,BR,79.92,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
141,Daru,PG,84.38,overcast clouds,-9.0763,143.2092,Daru Lodge
143,Tuatapere,NZ,66.11,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
144,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
148,Jacmel,HT,82.24,broken clouds,18.2342,-72.5347,Historic Hotel Florita
152,Saint George,US,73.87,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
153,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
158,Sinnai,IT,63.5,few clouds,39.3042,9.2036,La Rosa Dei Venti Sardinya
159,Ponta Do Sol,PT,70.72,overcast clouds,32.6667,-17.1,Hotel do Campo
160,Mayumba,GA,76.33,light rain,-3.432,10.6554,LIKWALE LODGE
161,Snyder,US,86.34,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
165,Huambo,AO,64.18,overcast clouds,-12.7761,15.7392,SiSHotel
168,Kupang,ID,84.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
169,Sambava,MG,75.24,light rain,-14.2667,50.1667,Melrose
171,Kirakira,SB,85.33,scattered clouds,-10.4544,161.9205,SanBiz Lodge
172,Bima,ID,86.81,broken clouds,-8.4667,118.7167,Lambitu Hotel
176,Iquitos,PE,84.24,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
179,Carnarvon,AU,69.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
184,Coahuayana,MX,80.1,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
185,Poum,NC,76.15,scattered clouds,-20.2333,164.0167,Gîte kajeon
186,Marsh Harbour,BS,80.38,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
187,Camana,PE,61.9,scattered clouds,-16.6228,-72.7111,Hostal Morales
188,Puerto Madryn,AR,69.49,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
189,La Peca,PE,72.48,light rain,-5.6111,-78.435,Hospedaje San Miguelito
190,Itoman,JP,77.02,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
192,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
195,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
196,Namibe,AO,62.96,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
197,Avera,US,69.71,overcast clouds,33.194,-82.5271,
198,Acapulco,MX,78.58,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
200,Hambantota,LK,77.9,overcast clouds,6.1241,81.1185,Bungalow 63
203,Necochea,AR,61.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
205,Lagoa,PT,66.31,scattered clouds,39.05,-27.9833,Casa Das Faias
206,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
208,Bridgetown,BB,81.09,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
212,Maceio,BR,78.24,clear sky,-9.6658,-35.7353,Poutur Pousada
217,Kisangani,CD,70.2,light rain,0.5167,25.2,Grand Ramela Hotel
220,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
222,Ishigaki,JP,75.33,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
223,Sao Filipe,CV,78.06,broken clouds,14.8961,-24.4956,Hotel Xaguate
226,Umm Kaddadah,SD,82.17,clear sky,13.6017,26.6876,
229,Sarangani,PH,82.92,overcast clouds,5.4033,125.4636,Ballistic Islet
230,Arlit,NE,80.78,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
231,Mhango,TZ,72.16,broken clouds,-3.2833,32.85,
232,Davidson,US,72.36,scattered clouds,36.1501,-86.7833,Best Western Plus Music Row
233,Angoche,MZ,77.23,clear sky,-16.2325,39.9086,Guest House HESADA
239,San Roque,ES,65.23,scattered clouds,36.2107,-5.3842,Hotel Guadacorte Park
240,Koubia,GN,67.6,moderate rain,11.5833,-11.9,Hôtel Mbalou Koubia
241,Anupgarh,IN,71.35,clear sky,29.1911,73.2086,Kushal & Vishal DTH Kappa Internet Service
243,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
244,Dingle,PH,80.01,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
246,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
247,Bubaque,GW,82.62,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
248,Bagotville,AU,71.42,broken clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
249,Nuevitas,CU,80.04,overcast clouds,21.5453,-77.2644,Hotel Caonaba
250,Nagua,DO,80.65,few clouds,19.3832,-69.8474,Hotel Cambri
253,Sri Aman,MY,77.09,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
254,Sterling,US,65.86,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
255,Mega,ET,61.99,few clouds,4.05,38.3,Amanuel Guest House
259,Arraial Do Cabo,BR,71.44,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
260,Khao Wong,TH,65.34,overcast clouds,16.7001,104.0902,ลำน้ำยังรีสอร์ท
261,Kaitangata,NZ,61.63,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
262,Geraldton,AU,67.12,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
265,Roebourne,AU,84.36,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
267,Sawtell,AU,76.19,broken clouds,-30.3833,153.1,Island Beach House Sawtell
268,Menongue,AO,64.11,light rain,-14.6585,17.691,Ritz Lauca
269,Marion,US,66.81,mist,39.7684,-86.1555,Hilton Garden Inn Indianapolis Downtown
273,Ratnagiri,IN,74.32,scattered clouds,16.9833,73.3,Hotel Landmark
275,Bowling Green,US,75.13,clear sky,36.9903,-86.4436,Hilton Garden Inn Bowling Green
276,Araouane,ML,88.63,broken clouds,18.9048,-3.5265,
277,Mayo,US,66.56,clear sky,38.8876,-76.5119,Resorts Resource Group International
278,Malakal,SS,76.6,few clouds,9.5334,31.6605,Nile Palace Hotel
279,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
281,Buckeye,US,88.2,scattered clouds,33.3703,-112.5838,Buckeye Motor Hotel
283,Sydney,AU,70.56,few clouds,-33.8679,151.2073,The Grace Sydney
284,Marawi,PH,70.65,broken clouds,7.9986,124.2928,Derogongan Residence
286,Cidreira,BR,61.45,clear sky,-30.1811,-50.2056,Hotel Castelo
287,Kudahuvadhoo,MV,82.22,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
289,Esperance,AU,64.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
290,Denpasar,ID,82.06,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
292,Araxa,BR,69.76,clear sky,-19.5933,-46.9406,Plaza Inn Flat Araxá
293,Porto Novo,BJ,80.42,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
294,Gerash,IR,68.72,clear sky,27.6652,54.1371,Sa'adat House
299,Bonthe,SL,77.7,moderate rain,7.5264,-12.505,Bonthe Holiday Village
302,Inhambane,MZ,73.24,overcast clouds,-23.865,35.3833,Oceano
303,Itigi,TZ,71.44,scattered clouds,-5.7,34.4833,Hostel San Sebastiano
304,Boyolangu,ID,78.17,overcast clouds,-8.1181,111.8935,Yos ega cv
305,Catuday,PH,80.17,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
307,Tabuk,PH,75.65,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
308,San Rafael Del Sur,NI,85.17,broken clouds,11.8485,-86.4384,Hospedaje El Chino
309,Palomares,MX,78.37,broken clouds,17.15,-95.0667,Hotel Monarca
311,Kieta,PG,86.14,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
312,Karaton,ID,83.95,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
314,Surt,LY,76.62,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
