City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
105,Kamenka,RU,51.3223,42.7678,34.32,82,90,14.76,overcast clouds
106,Machala,EC,-3.2667,-79.9667,78.75,73,75,6.91,broken clouds
107,Airai,TL,-8.9266,125.4092,72.1,54,98,1.07,overcast clouds
108,Hithadhoo,MV,-0.6,73.0833,82.71,70,73,15.86,broken clouds
109,Castro,BR,-24.7911,-50.0119,55.13,97,91,3.6,overcast clouds
110,Lavrentiya,RU,65.5833,-171.0,22.6,80,100,10.45,overcast clouds
111,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,79,0,4.85,clear sky
112,Lompoc,US,34.6391,-120.4579,69.01,83,90,6.91,overcast clouds
113,Barrow,US,71.2906,-156.7887,28.42,80,90,5.75,overcast clouds
114,Egvekinot,RU,66.3167,-179.1667,6.57,85,24,5.73,few clouds
115,Cullman,US,34.1748,-86.8436,67.86,70,20,1.01,few clouds
116,Hobart,AU,-42.8794,147.3294,54.05,69,75,3.0,broken clouds
117,San Quintin,MX,30.4833,-115.95,65.82,73,11,15.17,few clouds
118,Thinadhoo,MV,0.5333,72.9333,82.76,72,79,14.76,broken clouds
119,Vigrestad,NO,58.5667,5.7,50.0,91,100,19.13,light rain
120,Port Elizabeth,ZA,-33.918,25.5701,50.09,93,0,3.44,clear sky
121,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,100,40,3.44,scattered clouds
122,Zhifang,CN,30.35,114.3167,51.78,59,88,2.06,overcast clouds
123,Corinto,GR,37.9407,22.9573,63.9,89,100,5.77,overcast clouds
124,Namatanai,PG,-3.6667,152.4333,85.41,65,93,4.21,overcast clouds
125,Mataura,NZ,-46.1927,168.8643,67.01,57,92,4.34,overcast clouds
126,Avarua,CK,-21.2078,-159.775,77.05,53,40,13.8,scattered clouds
127,Cherskiy,RU,68.75,161.3,-10.86,96,31,4.38,scattered clouds
128,Virden,US,39.5009,-89.7679,75.49,81,86,24.52,overcast clouds
129,Guerrero Negro,MX,27.9769,-114.0611,68.13,66,0,16.44,clear sky
130,Kangaatsiaq,GL,68.3065,-53.4641,18.72,92,64,8.3,broken clouds
131,Verkhovazhye,RU,60.7472,42.0465,25.5,93,13,6.04,few clouds
132,Lakatoro,VU,-16.0999,167.4164,81.59,75,19,6.51,few clouds
133,Basoko,CD,1.2391,23.616,70.0,96,100,1.1,overcast clouds
134,Payo,ID,-3.7508,103.6372,74.64,96,100,0.85,overcast clouds
135,Kodiak,US,57.79,-152.4072,45.91,76,75,9.22,broken clouds
136,Ihosy,MG,-22.4,46.1167,69.8,86,23,7.7,few clouds
137,Severo-Kurilsk,RU,50.6789,156.125,39.38,65,60,18.59,broken clouds
138,Thompson,CA,55.7435,-97.8558,32.16,86,75,2.3,light shower snow
139,Tasiilaq,GL,65.6145,-37.6368,32.16,86,100,46.46,snow
140,Itarema,BR,-2.9248,-39.9167,79.92,73,2,13.96,clear sky
141,Daru,PG,-9.0763,143.2092,84.38,74,90,10.56,overcast clouds
142,Ketchikan,US,55.3422,-131.6461,54.07,47,1,10.36,clear sky
143,Tuatapere,NZ,-46.1333,167.6833,66.11,68,88,1.72,overcast clouds
144,Kununurra,AU,-15.7667,128.7333,82.38,69,74,4.61,broken clouds
145,Eskil,TR,38.4017,33.4131,52.16,70,37,13.33,scattered clouds
146,Were Ilu,ET,10.6,39.4333,46.42,65,12,5.26,few clouds
147,Iqaluit,CA,63.7506,-68.5145,29.93,86,90,5.99,light snow
148,Jacmel,HT,18.2342,-72.5347,82.24,84,75,3.91,broken clouds
